 or NDC	co2|h|orn-L|ptrc
MCOATA	ACP|coa|malACP|malcoa
MCPST	mercppyr|pyr|so3|tsul
MDH	h|mal-L|nad|nadh|oaa
MDRPD	5mdru1p|dkmpp|h2o
ME2	co2|mal-L|nadp|nadph|pyr
MEAMP1(gly-asp)	asp-L|gly|gly-asp-L|h2o
MEAMP1(gly-glu)	glu-L|gly|gly-glu-L|h2o
MECDPDH	2mecdp|h2mb4p|h2o|nad|nadh
MECDPS	2mecdp|2p4c2me|cmp
MEPCT	2me4p|4c2me|ctp|h|ppi
METAT	amet|atp|h2o|met-L|pi|ppi
METGL	2obut|ch4s|h2o|met-L|nh4
METS	5mthf|h|hcys-L|met-L|thf
METTRS	amp|atp|met-L|mettrna|ppi|trnamet
MGCH	3mgcoa|h2o|hmgcoa
MGt3	h|mg2
MGt5	mg2
MI1PP	h2o|inost|mi1p-D|pi
MICITH	2mcacn|h2o|micit
MICITL	micit|pyr|succ
MLACI	4fumacac|4mlacac
MMSDHir	co2|coa|mmalsa|nad|nadh|ppcoa
MN or 	h|h2o|mn2|mn4o|mql7|mqn7
MN or 2	h|h2o|mmql7|mmqn7|mn2|mn4o
MOAT3	ckdo8n|cmp|h|kdo8nlipid4|lipidA
MOBDabc	adp|atp|h|h2o|mobd|pi
MOHMT	2dhp|3mob|h2o|mlthf|thf
MTAN	5mta|5mtr|ade|h2o
MTHFC	10fthf|h|h2o|methf
MTHFD	methf|mlthf|nadp|nadph
MTHFR2	5mthf|h|mlthf|nad|nadh
MTRI	5mdr1p|5mdru1p
MTRK	5mdr1p|5mtr|adp|atp|h
NADH11	h|nad|nadh|ubq8|ubq8h2
NADH12	h|nad|nadh|ubq8|ubq8h2
NADH13	h|mql7|mqn7|nad|nadh
NADH14	h|mmql7|mmqn7|nad|nadh
NADH16	h|mmql7|mmqn7|nad|nadh
NADH4	h|mql7|mqn7|nad|nadh
NADK	adp|atp|h|nad|nadp
NADS1	amp|atp|dnad|h|nad|nh4|ppi
NAabcO	adp|atp|h|h2o|na1|pi
NAt3	h|na1
NAt3_2	h|na1
NAt9	ca2|na1
NCTPPRT	h|nac|nicrnt|ppi|prpp
NDPK1	adp|atp|gdp|gtp
NDPK2	adp|atp|udp|utp
NDPK3	adp|atp|cdp|ctp
NDPK4	adp|atp|dtdp|dttp
NDPK5	adp|atp|dgdp|dgtp
NDPK6	adp|atp|dudp|dutp
NDPK7	adp|atp|dcdp|dctp
NDPK8	adp|atp|dadp|datp
NH4t	nh4
NIt3	h|ni2
NMNAT	atp|h|nad|nmn|ppi
NMNP	nmn
NNAT	atp|dnad|h|nicrnt|ppi
NNDMBRT	5prdmbz|dmbzid|h|nac|nicrnt
NNDMBRT2	dmbzid|ribflv|unknown1
NNDPR	co2|h|nicrnt|ppi|prpp|quln
NPHS	coa|dhna|sbzcoa
NTD1	dump|duri|h2o|pi
NTD10	h2o|pi|xmp|xtsn
NTD11	h2o|imp|ins|pi
NTD2	h2o|pi|ump|uri
NTD3	dcmp|dcyt|h2o|pi
NTD4	cmp|cytd|h2o|pi
NTD5	dtmp|h2o|pi|thymd
NTD6	dad-2|damp|h2o|pi
NTD7	adn|amp|h2o|pi
NTD8	dgmp|dgsn|h2o|pi
NTD9	gmp|gsn|h2o|pi
NTPP1	dgmp|dgtp|h|h2o|ppi
NTPP2	gmp|gtp|h|h2o|ppi
NTPP3	dcmp|dctp|h|h2o|ppi
NTPP4	cmp|ctp|h|h2o|ppi
NTPP5	damp|datp|h|h2o|ppi
NTPP6	amp|atp|h|h2o|ppi
NTPP7	dtmp|dttp|h|h2o|ppi
NTPP8	h|h2o|ppi|ump|utp
NTR4	h2o|mql7|mqn7|no2|no3
NTR5	h2o|mmql7|mmqn7|no2|no3
NTRIRmmq2	h|h2o|mmql7|mmqn7|nh4|no2
NTRIRmq2	h|h2o|mql7|mqn7|nh4|no2
O2t	o2
OBTFL	2obut|coa|for|ppcoa
OCBT	cbp|citr-L|h|orn-L|pi
OCDCAt2	h|ocdca
OHPBAT	akg|glu-L|ohpb|phthr
OHPHM	2ohph|2omph|ahcys|amet|h
OIVD1i	4mop|co2|coa|ivcoa|nad|nadh
OIVD2	3mob|co2|coa|ibcoa|nad|nadh
OIVD3	2mbcoa|3mop|co2|coa|nad|nadh
OMBZLM	2ombzl|2ommbl|ahcys|amet|h
OMCDC	3c4mop|4mop|co2|h
OMMBLHX	2omhmbl|2ommbl|o2
OMPDC	co2|h|orot5p|ump
OMPHHX	2ombzl|2omph|o2
OPHBDC	2oph|3ophb|co2|h
OPHHX	2ohph|2oph|o2
OXGDC2	akg|co2|h|ssaltpp|thmpp
P5CD	1pyr5c|glu-L|h|h2o|nad|nadh
P5CR	1pyr5c|h|nadp|nadph|pro-L
PANTS	ala-B|amp|atp|h|pant-R|pnto-R|ppi
PAP	12dag3p|12dgr|h2o|pi
PAPPT3	uagmda|udcpp|ugmda|ump
PAPSR	h|pap|paps|so3|trdox|trdrd
PASYN_SO_Aerobic	12dag3p|ACP|fa11ACP|fa13ACP|fa1ACP|fa3ACP|fa6ACP|glyc3p|hdeACP|hpdACP|hpdeACP|ocdACP|octeACP|palmACP|pdACP|pdeACP
PDH	accoa|co2|coa|nad|nadh|pyr
PDX5PO	h|h2o2|o2|pdx5p|pydx5p
PDX5PS	co2|dxyl5p|h|h2o|nad|nadh|pdx5p|phthr|pi
PEPTIDOXe	ala-D|peptido_EC|peptx
PERD	4per|h|nad|nadh|ohpb
PFL	accoa|coa|for|pyr
