12PPDt	12ppd-S
HSDy	aspsa|h|hom-L|nadp|nadph
HSK	adp|atp|hom-L|phom
HSST	coa|hom-L|succoa|suchms
HSTPT	akg|glu-L|hisp|imacp
HXPRT	hxan|imp|ppi|prpp
HYD1	h|h2|q8|q8h2
HYD2	h|h2|mql8|mqn8
HYD3	2dmmq8|2dmmql8|h|h2
HYPOE	h|h2o|pi|pyam5p|pydam
HYXNt	hxan
ICDHyr	akg|co2|icit|nadp|nadph
ICHORSi	chor|ichor
ICHORT	23ddhb|h2o|ichor|pyr
ICL	glx|icit|succ
IDOND	5dglcn|h|idon-L|nad|nadh
IDOND2	5dglcn|h|idon-L|nadp|nadph
IDONt2r	h|idon-L
IG3PS	aicar|eig3p|gln-L|glu-L|h|prlp
IGPDH	eig3p|h2o|imacp
IGPS	2cpr5p|3ig3p|co2|h|h2o
ILETA	3mop|akg|glu-L|ile-L
ILEabc	adp|atp|h|h2o|ile-L|pi
ILEt2r	h|ile-L
IMPC	fprica|h2o|imp
IMPD	h|h2o|imp|nad|nadh|xmp
INDOLEt2r	h|indole
INSK	adp|atp|imp|ins
INSt2	h|ins
INSt2r	h|ins
IPDDIi	dmpp|ipdp
IPDPS	h|h2mb4p|h2o|ipdp|nad|nadh
IPMD	3c2hmp|3c4mop|h|nad|nadh
IPPMIa	2ippm|3c2hmp|h2o
IPPMIb	2ippm|3c3hmp|h2o
IPPS	3c3hmp|3mob|accoa|coa|h|h2o
KARA1i	23dhmb|alac-S|h|nadp|nadph
KARA2i	23dhmp|2ahbut|h|nadp|nadph
KAS14	ACP|acACP|actACP|co2|h|malACP
KAS15	accoa|actACP|co2|coa|h|malACP
KAS16	3hmrsACP|ACP|co2|ddcaACP|h|malACP|nadp|nadph
KDOCT2	ckdo|ctp|kdo|ppi
KDOPP	h|h2o|kdo|kdo8p|pi
KDOPS	ara5p|h|h2o|kdo8p|pep|pi
KG6PDC	3dgulnp|co2|h|xu5p-L
Kabc	adp|atp|h|h2o|k|pi
Kt2r	h|k
L-LACD2	lac-L|pyr|q8|q8h2
L-LACD3	lac-L|mql8|mqn8|pyr
L-LACt2r	h|lac-L
LACZ	gal|glc-D|h2o|lcts
LCAD	h|h2o|lac-L|lald-L|nad|nadh
LCADi	h|h2o|lac-L|lald-L|nad|nadh
LCAR	12ppd-S|h|lald-L|nad|nadh
LCTSt	h|lcts
LDH_D	h|lac-D|nad|nadh|pyr
LDH_D2	lac-D|pyr|q8|q8h2
LEUTAi	4mop|akg|glu-L|leu-L
LEUabc	adp|atp|h|h2o|leu-L|pi
LEUt2r	h|leu-L
LGTHL	gthrd|lgt-S|mthgxl
LPADSS	lipidAds|lipidX|u23ga|udp
LPLIPA1	agpg_EC|g3pg|h|h2o|hdca|hdcea|ocdcea|ttdca|ttdcea
LPLIPA2	agpe_EC|g3pe|h|h2o|hdca|hdcea|ocdcea|ttdca|ttdcea
LPLIPA3	agpc_EC|g3pc|h|h2o|hdca|hdcea|ocdcea|ttdca|ttdcea
LPLIPA4	agpe_EC|apg_EC|g3pe|pg_EC
LPLIPA5	agpc_EC|apg_EC|g3pc|pg_EC
LPLIPA6	agpg_EC|apg_EC|g3pg|pg_EC
LPSSYN_EC	adp|adphep-L,D|cdp|cdpea|ckdo|cmp|h|lipa|lps_EC|udp|udpg
LYSDC	15dap|co2|h|lys-L
LYSabc	adp|atp|h|h2o|lys-L|pi
LYSt2r	h|lys-L
M1PD	f6p|h|mnl1p|nad|nadh
MACPD	acACP|co2|h|malACP
MALS	accoa|coa|glx|h|h2o|mal-L
MALTHXabc	adp|atp|h|h2o|malthx|pi
MALTPTabc	adp|atp|h|h2o|maltpt|pi
MALTTRabc	adp|atp|h|h2o|malttr|pi
MALTTTRabc	adp|atp|h|h2o|maltttr|pi
MALTabc	adp|atp|h|h2o|malt|pi
MALTpts	malt|malt6p|pep|pyr
MALt2_2	h|mal-L
MALt2_3	h|mal-L
MAN1PT2	gdp|gdpmann|h|man1p|pi
MAN6PI	f6p|man6p
MAN6Pt6_2	man6p|pi
MANAO	fruur|h|mana|nad|nadh
MANpts	man|man6p|pep|pyr
MCITD	2mcacn|2mcit|h2o
MCITL2	micit|pyr|succ
MCITS	2mcit|coa|h|h2o|oaa|ppcoa
MCOATA	ACP|coa|malACP|malcoa
MDH	h|mal-L|nad|nadh|oaa
MDH2	mal-L|oaa|q8|q8h2
MDH3	mal-L|mql8|mqn8|oaa
MDRPD	5mdru1p|dkmpp|h2o
ME1	co2|mal-L|nad|nadh|pyr
ME2	co2|mal-L|nadp|nadph|pyr
MECDPDH	2mecdp|h|h2mb4p|h2o
MECDPS	2mecdp|2p4c2me|cmp
MELIBt2	h|melib
MEPCT	2me4p|4c2me|ctp|ppi
METAT	amet|atp|h2o|met-L|pi|ppi
METDabc	adp|atp|h|h2o|met-D|pi
METS	5mthf|hcys-L|met-L|thf
METabc	adp|atp|h|h2o|met-L|pi
MGSA	dhap|h|mthgxl|pi
MI1PP	h|h2o|inost|mi1p-D|pi
MICITD	2mcacn|h2o|micit
MLTG1	glc-D|h2o|malt|malttr
MLTG2	glc-D|h2o|malttr|maltttr
MLTG3	glc-D|h2o|maltpt|maltttr
MLTG4	glc-D|h2o|malthx|maltpt
MLTG5	glc-D|h2o|malthp|malthx
MLTP1	g1p|h|maltpt|maltttr|pi
