R02082	C00005|C00006|C00010|C00080|C00356|C00418
R02085	C00001|C00356|C03231
R02088	C00001|C00009|C00360|C00559
R02090	C00002|C00008|C00361|C00362
R02091	C00055|C00286|C00361|C00475
R02092	C00001|C00009|C00363|C00364
R02093	C00002|C00008|C00363|C00459
R02094	C00002|C00008|C00363|C00364
R02095	C00001|C00009|C00363|C00459
R02096	C00055|C00363|C00459|C00475
R02097	C00105|C00299|C00363|C00459
R02098	C00002|C00008|C00365|C01346
R02100	C00001|C00013|C00365|C00460
R02101	C00143|C00364|C00365|C00415
R02106	C00001|C00007|C00027|C00366|C11821
R02108	C00001|C00369|C00721
R02110	C00369|C00718
R02111	C00009|C00103|C00369|C00718
R02112	C00208|C00369|C01935
R02113	C00015|C00029|C00370|C03641
R02124	C00003|C00004|C00080|C00376|C00473
R02142	C00013|C00119|C00385|C00655
R02157	C00019|C00021|C00389|C04443
R02160	C00001|C00007|C00011|C00026|C00042|C00389|C01617
R02161	C00080|C00125|C00126|C00390|C00399
R02163	C00003|C00004|C00080|C00390|C00399
R02164	C00042|C00122|C00390|C00399
R02175	C00019|C00021|C05805|C17568
R02193	C00005|C00006|C00010|C00080|C00406|C02666
R02194	C00002|C00010|C00013|C00020|C00406|C01494
R02199	C00025|C00026|C00407|C00671
R02220	C00005|C00006|C00010|C00080|C00411|C05610
R02221	C00002|C00010|C00013|C00020|C00411|C00482
R02222	C00001|C00007|C00080|C00412|C00510|C00996|C00999
R02235	C00003|C00004|C00080|C00415|C00504
R02236	C00005|C00006|C00080|C00415|C00504
R02237	C00002|C00008|C00009|C00025|C00415|C00921
R02239	C00001|C00009|C00416|C00641
R02240	C00002|C00008|C00416|C00641
R02241	C00010|C00040|C00416|C00681
R02245	C00002|C00008|C00418|C01107
R02248	C00001|C00009|C00419|C03463
R02249	C00001|C00009|C00419|C03475
R02250	C00001|C00162|C00422|C00641
R02251	C00010|C00040|C00422|C00641
R02253	C00001|C00005|C00006|C00007|C00080|C00423|C00811
R02255	C00002|C00010|C00013|C00020|C00423|C00540
R02265	C00427|C00584
R02269	C00001|C00429|C02642
R02272	C00430|C03741
R02282	C00025|C00077|C00437|C00624
R02291	C00005|C00006|C00009|C00080|C00441|C03082
R02292	C00001|C00022|C00441|C03340
R02300	C00001|C00445|C03479
R02301	C00002|C00008|C00009|C00080|C00445|C03479
R02313	C00001|C00003|C00004|C00025|C00080|C00449|C04076
R02320	C00022|C00074|C00201|C00454
R02323	C00001|C00009|C00455|C03150
R02326	C00002|C00008|C00458|C00705
R02327	C00105|C00299|C00458|C00705
R02331	C00002|C00008|C00460|C01346
R02332	C00105|C00299|C00460|C01346
R02334	C00001|C00461|C03518
R02340	C00118|C00463|C03506
R02361	C00470|C06118
R02362	C00001|C00132|C00470|C00714
R02366	C00010|C00040|C00473|C02075
R02367	C00010|C00154|C00473|C02588
R02371	C00055|C00458|C00475|C00705
R02372	C00055|C00460|C00475|C01346
R02382	C00001|C00007|C00014|C00027|C00483|C03765
R02408	C00001|C00014|C00022|C00491|C01962
R02410	C00001|C00095|C00492|C05402
R02411	C00089|C00137|C00492|C01235
R02412	C00002|C00008|C00493|C03175
R02413	C00005|C00006|C00080|C00493|C02637
R02416	C00010|C00223|C00493|C02947
R02418	C00001|C00145|C00496|C04090
R02421	C00008|C00498|C00718
R02423	C00001|C00011|C00014|C00499|C02091
R02425	C00001|C00499|C02350
R02433	C00025|C00026|C00506|C05528
R02442	C00001|C00005|C00006|C00007|C00080|C00509|C05631
R02444	C00007|C00011|C00026|C00042|C00509|C00974
R02446	C00509|C06561
R02457	C00001|C00007|C00014|C00027|C00515|C01110
R02464	C00346|C00517|C01120
R02466	C00011|C00519|C00606
R02467	C00007|C00519|C01678
R02473	C00002|C00013|C00020|C00099|C00522|C00864
R02485	C00001|C00014|C00526|C00881
R02493	C00002|C00008|C00534|C00647
R02494	C00001|C00009|C00534|C00647
R02497	C00028|C00030|C00535|C03917
R02506	C00005|C00006|C00010|C00080|C00540|C00903
R02508	C00042|C00097|C00542|C01118
R02519	C00007|C00544|C01036
R02521	C00007|C00011|C00544|C01179
R02529	C00001|C00007|C00014|C00027|C00546|C01888
R02530	C00051|C00546|C03451
R02549	C00001|C00003|C00004|C00080|C00334|C00555
R02556	C00001|C00014|C00559|C05512
R02565	C00001|C00003|C00004|C00080|C00576|C00719
R02566	C00001|C00005|C00006|C00080|C00576|C00719
R02568	C00111|C00577|C01094
R02569	C00010|C00024|C15973|C16255
R02570	C00010|C00091|C15973|C16254
R02571	C00010|C00527|C06157|C15973
R02580	C00003|C00004|C00080|C00584|C04707
R02581	C00005|C00006|C00080|C00584|C00639
R02584	C00002|C00008|C00585|C01167
R02585	C00001|C00009|C00585|C01167
R02590	C00013|C00063|C05674|C06459
R02593	C00005|C00006|C00080|C00590|C02666
R02596	C00590|C15805
R02613	C00001|C00007|C00014|C00027|C00601|C05332
R02619	C00025|C00026|C00606|C05527
R02649	C00002|C00008|C00624|C04133
