+-BORNEOL-DEHYDROGENASE-RXN.c	CPD-1903|CPD-862|NAD|NADH|PROTON
2.1.1.120-RXN.c	12-HYDROXYDIHYDROCHELIRUBINE|ADENOSYL-HOMO-CYS|DIHYDROMACARPINE|PROTON|S-ADENOSYLMETHIONINE
2.1.1.125-RXN.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE
2.1.1.126-RXN.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE
2.1.1.127-RXN.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE
2.1.1.127-RXN.d	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE
2.1.1.128-RXN.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE|S-COCLAURINE|S-NORCOCLAURINE
2.1.1.129-RXN.c	4-METHYL-MYO-INOSITOL|ADENOSYL-HOMO-CYS|MYO-INOSITOL|PROTON|S-ADENOSYLMETHIONINE
2.1.1.137-RXN.c	ADENOSYL-HOMO-CYS|CPD-763|PROTON|S-ADENOSYLMETHIONINE
2.1.1.138-RXN.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE
2.1.1.140-RXN.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE|S-COCLAURINE|S-N-METHYLCOCLAURINE
2.1.1.143-RXN.c	ADENOSYL-HOMO-CYS|CPD-4101|CPD-4124|PROTON|S-ADENOSYLMETHIONINE
2.1.1.143-RXN.r	ADENOSYL-HOMO-CYS|CPD-4101|CPD-4124|PROTON|S-ADENOSYLMETHIONINE
2.1.1.146-RXN.c	ADENOSYL-HOMO-CYS|ISOEUGENOL|ISOMETHYLEUGENOL|PROTON|S-ADENOSYLMETHIONINE
2.1.1.149-RXN.c	ADENOSYL-HOMO-CYS|MYRICETIN|PROTON|S-ADENOSYLMETHIONINE|SYRINGETIN
2.1.1.155-RXN.c	ADENOSYL-HOMO-CYS|CPD1F-90|PROTON|S-ADENOSYLMETHIONINE
2.1.1.34-RXN.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE
2.1.1.62-RXN.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE
2.1.1.63-RXN.c	PROT-CYS
2.1.1.64-RXN.c	ADENOSYL-HOMO-CYS|CPD-7158|CPD-9957|PROTON|S-ADENOSYLMETHIONINE
2.1.1.69-RXN.c	5-METHOXYFURANOCOUMARIN|ADENOSYL-HOMO-CYS|BERGAPTOL|PROTON|S-ADENOSYLMETHIONINE
2.1.1.71-RXN.c	ADENOSYL-HOMO-CYS|CPD-160|CPD-405|PROTON|S-ADENOSYLMETHIONINE
2.1.1.77-RXN.c	ADENOSYL-HOMO-CYS|S-ADENOSYLMETHIONINE
2.1.1.79-RXN.c	ADENOSYL-HOMO-CYS|PROTON|Phospholipid-Cyclopropane-Fatty-Acids|Phospholipid-Olefinic-Fatty-Acids|S-ADENOSYLMETHIONINE
2.1.1.82-RXN.c	345-TRIHYDROXY-37-DIMETHOXYFLAVONE|3457-TETRAHYDROXY-3-METHOXYFLAVONE|ADENOSYL-HOMO-CYS|S-ADENOSYLMETHIONINE
2.1.1.83-RXN.c	345-TRIHYDROXY-37-DIMETHOXYFLAVONE|ADENOSYL-HOMO-CYS|CPD-10510|PROTON|S-ADENOSYLMETHIONINE
2.1.1.84-RXN.c	ADENOSYL-HOMO-CYS|CPD-10527|PROTON|S-ADENOSYLMETHIONINE
2.1.1.89-RXN.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE|S-TETRAHYDROCOLUMBAMINE|TETRAHYDROPALMATINE
2.1.1.94-RXN.c	16-HYDROXYTABERSONINE|ADENOSYL-HOMO-CYS|CPD-7164|PROTON|S-ADENOSYLMETHIONINE
2.1.1.99-RXN.c	16-METHOXY-23-DIHYDRO-3-HYDROXYTABERSON|ADENOSYL-HOMO-CYS|DEACETOXYVINDOLINE|PROTON|S-ADENOSYLMETHIONINE
2.3.1.103-RXN.c	1-O-SINAPOYL-BETA-D-GLUCOSE|12-BIS-O-SINAPOYL-BETA-D-GLUCOSIDE|GLC
2.3.1.107-RXN.c	17-O-DEACETYLVINDOLINE|ACETYL-COA|CO-A|VINDOLINE
2.3.1.133-RXN.c	CO-A|CPD-412|P-COUMAROYL-COA|SHIKIMATE
2.3.1.143-RXN.c	1-O-GALLOYL-BETA-D-GLUCOSE|12346-PENTAKIS-O-GALLOYL-BETA-D-GLUC|1236-TETRAKIS-O-GALLOYL-BETA-D-GLUCOS|GLC
2.3.1.150-RXN.c	7-O-ACETYLSALUTARIDINOL|ACETYL-COA|CO-A|SALUTARIDINOL
2.3.1.151-RXN.c	2346-TETRAHYDROXYBENZOPHENONE|CARBON-DIOXIDE|CO-A|CPD-264|MALONYL-COA|PROTON
2.3.1.156-RXN.c	3-METHYL-1-246-TRIHYDROXYPHENYLBUTAN|CARBON-DIOXIDE|CO-A|ISOVALERYL-COA|MALONYL-COA|PROTON
2.3.1.158-RXN.c	DIACYLGLYCEROL|Triacylglycerols
2.3.1.159-RXN.c	13-DIHYDROXY-N-METHYLACRIDONE|CARBON-DIOXIDE|CO-A|MALONYL-COA|N-METHYLANTHRANILOYL-COA
