CDAPPA161	cdpdhdec9eg|cmp|h2o|pa161
CDAPPA180	cdpdodecg|cmp|h2o|pa180
CDAPPA181	cdpdodec11eg|cmp|h2o|pa181
CDPMEK	2p4c2me|4c2me|adp|atp
CFAS160E	ahcys|amet|cpe160|h|pe161
CFAS160G	ahcys|amet|cpg160|h|pg161
CFAS180E	ahcys|amet|cpe180|h|pe181
CFAS180G	ahcys|amet|cpg180|h|pg181
CGLYabcpp	adp|atp|cgly|h|h2o|pi
CGLYtex	cgly
CHLabcpp	adp|atp|chol|h|h2o|pi
CHLt2pp	chol|h
CHLtex	chol
CHORM	chor|pphn
CHORS	3psme|chor|h|pi
CHRPL	4hbz|chor|pyr
CINNDO	cenchddd|cinnm|h|nad|nadh|o2
CITL	ac|cit|oaa
CITt7pp	cit|succ
CITtex	cit
CLIPAtex	lipa_cold
CLPNH120pp	clpn120|h2o|pa120|pg120
CLPNH140pp	clpn140|h2o|pa140|pg140
CLPNH141pp	clpn141|h2o|pa141|pg141
CLPNH160pp	clpn160|h2o|pa160|pg160
CLPNH161pp	clpn161|h2o|pa161|pg161
CLPNH180pp	clpn180|h2o|pa180|pg180
CLPNH181pp	clpn181|h2o|pa181|pg181
CLPNS120pp	clpn120|glyc|pg120
CLPNS140pp	clpn140|glyc|pg140
CLPNS141pp	clpn141|glyc|pg141
CLPNS160pp	clpn160|glyc|pg160
CLPNS161pp	clpn161|glyc|pg161
CLPNS180pp	clpn180|glyc|pg180
CLPNS181pp	clpn181|glyc|pg181
CLt3_2pp	cl|h
CLtex	cl
CMPN	cmp|csn|h2o|r5p
CMPtex	cmp
CO2tex	co2
CO2tpp	co2
COBALT2abcpp	adp|atp|cobalt2|h|h2o|pi
COBALT2t3pp	cobalt2|h
COBALT2tex	cobalt2
COBALT2tpp	cobalt2
COLIPAabcpp	adp|atp|colipa|h|h2o|pi
COLIPAtex	colipa
CPGNR1	cpgn|cpgn-un|fad|fadh2|fe2|h
CPGNR2	cpgn|cpgn-un|fe2|fmn|fmnh2|h
CPGNR3	cpgn|cpgn-un|fe2|h|rbflvrd|ribflv
CPGNUtex	cpgn-un|h
CPGNUtpp	cpgn-un|h
CPGNabcpp	adp|atp|cpgn|h|h2o|pi
