2PGK	23dpg|2pg|adp|atp|h
HEX7	adp|atp|f6p|fru|h
HISDC	co2|h|his-L|hista
HISTD	h|h2o|his-L|histd|nad|nadh
HISTP	h2o|hisp|histd|pi
HISTRS	amp|atp|his-L|histrna|ppi|trnahis
HKt	adp|atp|h|h2o|k|pi
HMBS	h2o|hmbil|nh4|ppbng
HMGCOARi	coa|h|hmgcoa|mev-R|nadp|nadph
HMGCOASi	aacoa|accoa|coa|h|h2o|hmgcoa
HMPK1	4ahmmp|4ampm|adp|atp|h
HPACt2r	4hphac|h
HPPK2	6hmhpt|6hmhptpp|amp|atp|h
HSDy	aspsa|h|hom-L|nadp|nadph
HSERTA	accoa|achms|coa|hom-L
HSK	adp|atp|h|hom-L|phom
HSPMS	hspmd|nh4|ptrc
HSTPT	akg|glu-L|hisp|imacp
HXPRT	hxan|imp|ppi|prpp
ICDHyr	akg|co2|icit|nadp|nadph
IG3PS	aicar|eig3p|gln-L|glu-L|h|prlp
IGPDH	eig3p|h2o|imacp
IGPS	2cpr5p|3ig3p|co2|h|h2o
ILETA	3mop|akg|glu-L|ile-L
ILETRS	amp|atp|ile-L|iletrna|ppi|trnaile
ILEt2r	h|ile-L
IMPC	fprica|h2o|imp
IMPD	h|h2o|imp|nad|nadh|xmp
IND3ACt2r	h|ind3ac
INS2D	2ins|h|inost|nad|nadh
IOR	co2|coa|fdox|fdred|h|indaccoa|indpyr
IOR2	co2|coa|fdox|fdred|h|phaccoa|phpyr
IOR3	34hpp|co2|coa|fdox|fdred|h|hphaccoa
IPDDI3x	dmpp|f420-2|f420-2h2|h|ipdp|nad|nadh
IPDDI3y	dmpp|f420-2|f420-2h2|h|ipdp|nadp|nadph
IPMD	3c2hmp|3c4mop|h|nad|nadh
IPPMIa	2ippm|3c2hmp|h2o
IPPMIb	2ippm|3c3hmp|h2o
IPPS	3c3hmp|3mob|accoa|coa|h|h2o
KARA1	23dhmb|alac-S|h|nadp|nadph
KARA2	23dhmp|2ahbut|h|nadp|nadph
Kt2	h|k
Kt2r	h|k
LDH_L	h|lac-L|nad|nadh|pyr
LEUTA	4mop|akg|glu-L|leu-L
LEUTRS	amp|atp|leu-L|leutrna|ppi|trnaleu
LEUt2r	h|leu-L
LPFPLT	ddhrb|f420-0|gmp|h|lppg
LPPGS	2plac-L|gtp|h|lppg|ppi
LYSAM	36dahx|lys-L
LYSTRS	amp|atp|lys-L|lystrna|ppi|trnalys
LYSt3r	h|lys-L
MAN1PT2r	gdp|gdpmann|h|man1p|pi
MAN6PI	f6p|man6p
MCMMT	com|h2o|mcom|meoh
MCR	ch4|cob|hsfd|mcom
MDH	h|mal-L|nad|nadh|oaa
MDHi2	h|mal-L|nad|nadh|oaa
MDHy	h|mal-L|nadp|nadph|oaa
ME1_rev	co2|mal-L|nad|nadh|pyr
MEOHt2	meoh
METAT	amet|atp|h2o|met-L|pi|ppi
METGL	2obut|ch4s|h2o|met-L|nh4
METS	5mthf|h|hcys-L|met-L|thf
METTRS	amp|atp|met-L|mettrna|ppi|trnamet
MEVK1	5pmev|adp|atp|h|mev-R
MG2abc	adp|atp|h|h2o|mg2|pi
MGt5	mg2
